latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
32.18764,112.00077,306.49,1.26,1.12,2025-11-23,0215,T,18,6.1NRT,288.45,8.7,D
32.1832,112.02645,308.42,1.27,1.12,2025-11-23,0215,T,63,6.1NRT,288.52,11.35,D
31.85176,113.47724,300.9,1.56,1.23,2025-11-23,0215,T,43,6.1NRT,287.61,7.33,D
32.11236,111.89764,307.56,1.25,1.11,2025-11-23,0215,T,66,6.1NRT,288.57,10.55,D
32.10929,111.85737,306.73,1.24,1.11,2025-11-23,0215,T,54,6.1NRT,287.95,9.44,D
25.98363,108.50162,312.55,1.06,1.03,2025-11-23,0217,T,73,6.1NRT,286.03,14.41,D
25.98202,108.51197,325.11,1.06,1.03,2025-11-23,0217,T,84,6.1NRT,286.31,27.06,D
24.19934,110.94361,304.96,1.5,1.21,2025-11-23,0217,T,58,6.1NRT,283.48,11.86,D
24.68808,107.64331,311.7,1.03,1.01,2025-11-23,0217,T,72,6.1NRT,287.79,12.16,D
24.67926,107.6416,301.01,1.03,1.01,2025-11-23,0217,T,25,6.1NRT,286.76,4.54,D
24.5353,107.24467,304.17,1.01,1.01,2025-11-23,0217,T,58,6.1NRT,287.95,7.08,D
23.87438,107.27502,310.58,1.02,1.01,2025-11-23,0217,T,70,6.1NRT,288.47,10.81,D
23.88944,106.99155,304.69,1.01,1,2025-11-23,0217,T,60,6.1NRT,287.77,6.77,D
23.88802,107.00114,301,1.01,1,2025-11-23,0217,T,44,6.1NRT,286.89,4.63,D
23.38653,107.8095,300.69,1.06,1.03,2025-11-23,0217,T,40,6.1NRT,289.77,3.91,D
22.79193,107.64082,302.55,1.06,1.03,2025-11-23,0217,T,53,6.1NRT,290.01,5.28,D
21.97934,107.07755,302.75,1.03,1.02,2025-11-23,0217,T,53,6.1NRT,287.7,4.79,D
21.86371,106.48895,305.5,1.01,1,2025-11-23,0217,T,61,6.1NRT,290.07,6.4,D
21.86233,106.49839,301.8,1.01,1,2025-11-23,0217,T,49,6.1NRT,289.88,4.23,D
21.99931,104.88261,308.13,1.03,1.01,2025-11-23,0217,T,50,6.1NRT,291.42,8.28,D
21.99798,104.89233,302.25,1.03,1.01,2025-11-23,0217,T,48,6.1NRT,290.94,4.56,D
21.89479,105.03729,302.74,1.02,1.01,2025-11-23,0217,T,53,6.1NRT,290.31,4.68,D
21.47156,106.45748,309.26,1.01,1,2025-11-23,0217,T,68,6.1NRT,292.13,8.1,D
21.66092,104.92345,302.12,1.02,1.01,2025-11-23,0217,T,51,6.1NRT,291.51,3.81,D
21.40447,106.46875,303.63,1.01,1.01,2025-11-23,0217,T,57,6.1NRT,291.19,4.04,D
21.39148,106.31271,309.92,1.01,1,2025-11-23,0217,T,69,6.1NRT,293.03,7.67,D
21.33531,106.61588,307.05,1.02,1.01,2025-11-23,0217,T,59,6.1NRT,291.39,6.05,D
21.33391,106.62544,312.17,1.02,1.01,2025-11-23,0217,T,72,6.1NRT,292.21,9.7,D
21.31628,106.62254,310.29,1.02,1.01,2025-11-23,0217,T,65,6.1NRT,292.28,8.14,D
21.07681,106.74574,318.72,1.03,1.01,2025-11-23,0217,T,78,6.1NRT,291.63,15.48,D
21.35128,104.55785,301.99,1.04,1.02,2025-11-23,0217,T,45,6.1NRT,290.84,5.15,D
21.13188,105.14997,313.14,1.01,1,2025-11-23,0217,T,73,6.1NRT,291.89,11.22,D
20.1412,105.56139,304.3,1,1,2025-11-23,0219,T,59,6.1NRT,293.4,4,D
19.84564,105.35767,303.88,1,1,2025-11-23,0219,T,57,6.1NRT,292.34,4.38,D
18.56586,108.71991,313.62,1.34,1.15,2025-11-23,0219,T,58,6.1NRT,295.7,10.26,D
17.3135,105.24692,310.19,1,1,2025-11-23,0219,T,67,6.1NRT,284.58,8.35,D
17.31217,105.25607,304.03,1,1,2025-11-23,0219,T,45,6.1NRT,284.86,4.17,D
17.30473,105.24558,304.07,1,1,2025-11-23,0219,T,17,6.1NRT,285.58,4.07,D
17.03277,103.50191,311.47,1.05,1.02,2025-11-23,0219,T,68,6.1NRT,295.87,7.64,D
15.6507,106.23048,316.23,1.08,1.04,2025-11-23,0219,T,74,6.1NRT,295.23,11.95,D
15.63813,106.1293,317.92,1.07,1.03,2025-11-23,0219,T,76,6.1NRT,295.36,13.75,D
15.63668,106.13894,327.62,1.07,1.03,2025-11-23,0219,T,84,6.1NRT,296.52,25.04,D
15.01541,102.53915,306.35,1.09,1.04,2025-11-23,0219,T,57,6.1NRT,292.69,4.72,D
15.0196,100.53448,308.07,1.42,1.18,2025-11-23,0219,T,62,6.1NRT,292.83,8.31,D
13.67071,106.17274,307.95,1.12,1.05,2025-11-23,0219,T,53,6.1NRT,289,6.39,D
-33.06738,19.24998,300.23,1.68,1.27,2025-11-23,0145,A,16,6.1NRT,287.44,11.42,N
40.96283,44.22298,315.52,3.97,1.85,2025-11-23,0124,A,81,6.1NRT,279.68,128.17,N
40.95071,44.26734,327.93,4,1.86,2025-11-23,0124,A,100,6.1NRT,280.64,222.03,N
40.97027,44.2215,302.42,3.97,1.85,2025-11-23,0124,A,29,6.1NRT,278.66,65.18,N
40.95779,44.26836,321.21,4,1.86,2025-11-23,0124,A,100,6.1NRT,280.04,171.39,N
40.95654,44.20823,304.28,3.97,1.85,2025-11-23,0124,A,33,6.1NRT,276.8,71.49,N
40.94415,44.25453,310.7,4,1.86,2025-11-23,0124,A,62,6.1NRT,278.87,102.42,N
